TITLE,LOCATION,RUNNINGCOUNT,SHORTDEF,DCC FREQUENCY GROUP,DCC SEMANTIC GROUP,,
ET/2,1,1,and,1,Conjnctions/Adverbs,,
SVM/1,2,2,"be, exist; fut. infin. often = fore, impf. subj. often = forem for essem",1,Life and Being,,
QVI/1,3,3,"who, which, what",1,Pronouns/Interrogatives,,
QVE,4,4,and (postpositive enclitic),1,Conjunctions/Adverbs,,
IN,5,5,"in, on (+ abl.); into, onto (+ acc)",1,Place,,
NON,6,6,not,1,Conjunctions/Adverbs,,
HIC/1,7,7,"this, these",1,Pronouns/Interrogatives,,
ILLE,8,8,that,1,Pronouns/Interrogatives,,
TV,9,9,you (sing.),1,Pronouns/Interrogatives,,
CVM/2,10,10,"with (prep. + abl.); when, since, although (conjunction + subj.)",1,Conjunctions/Adverbs,,
CVM/3,10,10,"with (prep. + abl.); when, since, although (conjunction + subj.)",1,Conjunctions/Adverbs,,
EGO,11,11,"I, me",1,Pronouns/Interrogatives,,
QVISQVAM,12,12,"any (single) person, anyone at all",1,Pronouns/Interrogatives,,
IS,13,13,"he, she, it",1,Pronouns/Interrogatives,,
AD/2,14,14,"to, up to, towards (+acc.)",1,Place,,
VT/4,15,15,"as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!",1,Conjunctions/Adverbs,,
SI/2,16,16,if,1,Conjunctions/Adverbs,,
SVI/1,17,17,"him- her- itself, themselves",1,Pronouns/Interrogatives,,
OMNIS,18,18,"all, every, as a whole",1,Measurement,,
NEC/2,19,19,"and not, nor; nec ... nec, neither ... nor; → neque",1,Conjunctions/Adverbs,,
SED,20,20,but,1,Conjunctions/Adverbs,,
AB,21,21,"from, by (+abl.)",1,Place,,
IPSE,22,22,him- her- itself,1,Pronouns/Interrogatives,,
POSSVM/1,23,23,be able,1,Making/Doing,,
AVT,24,24,or,1,Conjunctions/Adverbs,,
MAGNVS,25,25,great,1,Measurement,,
EX,26,26,"out of, from (+ abl.)",1,Place,,
SVVS,27,27,"his own, her own, its own",1,Pronouns/Interrogatives,,
DO,28,28,give,1,Social Life,,
QVAM/1,29,29,how?, (after comparative) than,1,Pronouns/Interrogatives,
PER,30,30,through (+acc.),1,Place,,
VIDEO,31,31,see,1,Vision,,
FACIO,32,32,"do, make",1,Making/Doing,,
DICO/2,33,33,"say; causam dīcere, plead a case; diem dīcere, appoint a day",1,Speech/Oratory,,
IAM,34,34,now, already,1,Time,
ATQVE/1,35,35,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac",1,Conjunctions/Adverbs,,
AC/1,36,36,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque",1,Conjunctions/Adverbs,,
ALIVS,37,37,"other, another; ālias: at another time",1,Pronouns/Interrogatives,,
RES,38,38,"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)",1,Life and Being,,
HABEO,39,39,"have, hold",1,Other Senses,,
ANIMVS,40,40,"spirit, mind",1,Life and Being,,
MEVS,41,41,my,1,Pronouns/Interrogatives,,
DEVS,42,42,god, goddess,1,Religion,
MVLTVS,43,43,"much, many; multō, by far",1,Measurement,,
TVVS,44,44,your,1,Pronouns/Interrogatives,,
FERO,45,45,"bear, carry, endure",1,Verbs of Transport,,
DE,46,46,"down from, about, concerning (+ abl.)",1,Place,,
NE/2,47,47,"lest, that not",1,Conjunctions/Adverbs,,
MANVS/1,48,48,hand, band of men,1,The Body,
NVLLVS,49,49,"not any, no one",1,Pronouns/Interrogatives,,
NVNC,50,50,now,1,Time,,
NOS,51,51,we,1,Pronouns/Interrogatives,,
NOSTER,52,52,our,1,Pronouns/Interrogatives,,
VNVS,53,53,one,1,Measurement,,
DIES,54,54,day,1,Lengths of Time,,
NIHIL,55,55,nothing, not at all,1,Measurement,
TVM,56,56,then,1,Time,,
ENIM/2,57,57,"for, indeed",1,Pronouns/Interrogatives,,
TAMEN,58,58,"nevertheless, still",1,Conjunctions/Adverbs,,
IDEM,59,59,the same,1,Pronouns/Interrogatives,,
REX,60,60,king,1,The City,,
NAM,61,61,"for, indeed, really",1,Conjunctions/Adverbs,,
LOCVS,62,62,place, loca (n. pl.) region,1,Geography,
VENIO,63,63,come,1,Motion,,
INTER,64,64,"between, among; during (+ acc.)",1,Place,,
PARS,65,65,part,1,Measurement,,
VOLO/3,66,66,"wish, be willing",1,Emotions,,
ET/1,67,67,"also, even",1,Conjunctions/Adverbs,,
ETIAM,67,67,"also, even",1,Conjunctions/Adverbs,,
BONVS,68,68,good,1,Personality Traits/Characteristics,,
AGO,69,69,"drive, do, act",1,Verbs of Compelling/Directing,,
TERRA,70,70,land,1,Earth and Water,,
PATER,71,71,"father, ancestor",1,The Household,,
NEQVE,72,72,"and not, nor; neque ... neque, neither ... nor; → nec",1,Conjunctions/Adverbs,,
DOMVS,73,73,"house, home",1,The House,,
AT/2,74,74,"but, but yet",1,Conjunctions/Adverbs,,
CORPVS,75,75,body,1,The Body,,
QVOQVE,76,76,"also, too",1,Conjunctions/Adverbs,,
ALIQVIS,77,77,"some, any; si quis, si quid: anyone who, anything that",1,Pronouns/Interrogatives,,
TOTVS,78,78,"whole, entire",1,Measurement,,
SIC,79,79,"in this manner, thus; sīc ... ut: in the same way as",1,Conjunctions/Adverbs,,
HIC/2,80,80,here, hinc: from here,1,Place,
ISTE,81,81,"that, that of yours; adv. istīc or istūc: over there; istinc: from over there",1,Pronouns/Interrogatives,,
VRBS,82,82,city,1,The City,,
PETO,83,83,"seek, aim at",1,Motion,,
IVBEO,84,84,"bid, order",1,Justice,,
VIR,85,85,man,1,People,,
BELLVM,86,86,war,1,War and Peace,,
VITA,87,87,life,1,Life and Being,,
HOMO,88,88,human being,1,People,,
TEMPVS/1,89,89,time,1,Time,,
MAGIS/2,90,90,more,1,Conjunctions/Adverbs,,
PRIMVS,91,91,first,1,Time,,
VBI/1,92,92,"where, when",1,Place,,
HOSTIS,93,93,"stranger, enemy",1,War and Peace,,
AN,94,94,or (in questions), utrum ... an: whether ... or,1,Conjunctions/Adverbs,
MORS,95,95,death,1,Life and Being,,
TAM,96,96,"so, so much",1,Conjunctions/Adverbs,,
EO/1,97,97,go,1,Motion,,
ARMA,98,98,"arms, weapons",1,War and Peace,,
SVPERVS,99,99,"situated above, upper",1,Religion,,
NISI,100,100,"if not, unless",1,Conjunctions/Adverbs,,
VINCO,101,101,conquer,2,War and Peace,,
PONO,102,102,"put, place; put aside",2,Verbs of Transport,,
DVM/2,103,103,while (+ indic.), until (+ subj.), provided that (+ subj.),2,Time
SINE,104,104,without (+ abl.),2,Non–Directional Prepositions,,
TANTVS,105,105,"so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth",2,Measurement,,
TENEO,106,106,"hold, keep",2,Other Senses,,
CAVSA,107,107,"cause, reason; causā + preceding genitive, for the sake of",2,Speech/Oratory,,
SEQVOR,108,108,follow,2,Motion,,
CREDO,109,109,believe,2,Education/Knowledge,,
ACCIPIO,110,110,receive,2,Social Life,,
VIRTVS,111,111,"valor, manliness, virtue",2,Personality Traits/Characteristics,,
ANTE/2,112,112,"before, in front of (adv. and prep. + acc.)",2,Time,,
QVAERO,113,113,"seek, inquire",2,Education/Knowledge,,
MITTO,114,114,"send, let go",2,Verbs of Compelling/Directing,,
VIS,115,115,"force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength",2,War and Peace,,
AMOR,116,116,love,2,Love,,
CAELVM/1,117,117,"sky, heavens",2,Air and Fire,,
SVB,118,118,"under, close to (+acc. or abl.)",2,Place,,
NOX,119,119,night,2,Lengths of Time,,
ITA,120,120,"thus, so",2,Conjunctions/Adverbs,,
REGNVM,121,121,"kingship, kingdom",2,Geography,,
POPVLVS/1,122,122,people,2,The City,,
AVTEM,123,123,"moreover, but, however",2,Conjunctions/Adverbs,,
CAPVT,124,124,head,2,The Body,,
MARE,125,125,sea,2,Earth and Water,,
QVIDAM,126,126,"a certain one, someone",2,Pronouns/Interrogatives,,
MATER,127,127,mother,2,The Household,,
PRO/1,128,128,"for, on behalf of, in proportion to (+abl.)",2,Non–Directional Prepositions,,
QVISQVIS/2,129,129,"whoever, whichever",2,Pronouns/Interrogatives,,
VOS,130,130,"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs",2,Pronouns/Interrogatives,,
CAPIO/2,131,131,seize,2,War and Peace,,
QVIA,132,132,because,2,Conjunctions/Adverbs,,
DVCO,133,133,"lead; uxōrem dūcere, marry",2,Verbs of Compelling/Directing,,
ERGO/2,134,134,therefore,2,Conjunctions/Adverbs,,
NOMEN,135,135,name,2,Social Life,,
QVIDEM,136,136,"certainly, at least",2,Conjunctions/Adverbs,,
MISER,137,137,"wretched, pitiable",2,Emotions,,
FORTVNA,138,138,fortune,2,Religion,,
NOVVS,139,139,new,2,Time,,
GRAVIS,140,140,"heavy, serious",2,Measurement,,
VEL/1,141,141,"or else, or; even; vel ... vel: either … or",2,Conjunctions/Adverbs,,
LONGVS,142,142,"long, far",2,Measurement,,
PARVVS/2,143,143,small,2,Measurement,,
RELINQVO,144,144,abandon,2,Motion,,
SAEPE,145,145,often,2,Time,,
FIO,146,146,"become, happen, be done",2,Life and Being,,
OS/1,147,147,"mouth, face",2,The Body,,
ALTER,148,148,other of two,2,Measurement,,
SEMPER,149,149,"always, ever",2,Time,,
DEINDE,150,150,"then, next",2,Time,,
IGNIS,151,151,fire,2,Air and Fire,,
MODO/1,152,152,"just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes",2,Time,,
TIMEO,153,153,"to fear, to dread",2,Emotions,,
SCELVS,154,154,"crime, sin",2,Justice,,
DEBEO,155,155,"owe, be obliged",2,Business/Money,,
VIVO,156,156,live,2,Life and Being,,
FATVM,157,157,fate, death,2,Religion,
VOCO,158,158,call,2,Speech/Oratory,,
ALTVS,159,159,"high, lofty; deep",2,Geography,,
PARO/2,160,160,"prepare, acquire; parātus -a -um, ready",2,Making/Doing,,
MILES,161,161,soldier,2,War and Peace,,
MEDIVS,162,162,"middle, central",2,Place,,
INQVIO,163,163,say (used with direct speech),2,Speech/Oratory,,
POST/2,164,164,after (adv. and prep. +acc.),2,Time,,
AVDIO,165,165,"hear, listen to",2,Other Senses,,
PVTO,166,166,"think, suppose",2,Education/Knowledge,,
ANNVS,167,167,year,2,Lengths of Time,,
STO,168,168,stand,2,Life and Being,,
VOX,169,169,"voice, utterance",2,Speech/Oratory,,
GENVS/1,170,170,"origin, lineage, kind",2,The Household,,
REFERO,171,171,bring back, report,2,Verbs of Transport,
SCIO,172,172,know,2,Education/Knowledge,,
MENS,173,173,mind,2,The Body,,
REDDO,174,174,"return, give back",2,Verbs of Transport,,
LICET/1,175,175,it is permitted (+ dat. + infin.),2,Justice,,
SOLVS,176,176,"only, alone",2,Measurement,,
FVGIO,177,177,"flee, escape",2,Travel,,
VLLVS,178,178,"any, anyone",2,Pronouns/Interrogatives,,
NEMO,179,179,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)",2,Pronouns/Interrogatives,,
NATVRA,180,180,nature,2,Life and Being,,
MOS,181,181,"custom, habit; (pl.) character",2,Social Life,,
BENEFICIVM,182,182,"service, kindness",2,Social Life,,
PECTVS,183,183,"chest, breast",2,The Body,,
FIDES/2,184,184,"trust, faith",2,Personality Traits/Characteristics,,
PATIOR,185,185,"permit, endure",2,Verbs of Compelling/Directing,,
CVRA,186,186,"care, concern",2,Love,,
IRA,187,187,"wrath, anger",2,Emotions,,
VERBVM,188,188,word,2,Writing/Poetry,,
PROPE/2,189,189,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost",2,Place,,
PARENS/1,190,190,parent,2,The Household,,
PVER,191,191,boy, slave,2,People,
MOVEO,192,192,move,2,Motion,,
DOLOR,193,193,"pain, grief",2,Emotions,,
GENS,194,194,"family, clan",2,The Household,,
MODVS,195,195,"measure, manner, kind",2,Measurement,,
VIA,196,196,"way, street",2,Travel,,
QVISQVE/2,197,197,"each one, everyone",2,Pronouns/Interrogatives,,
AMICVS/2,198,198,friendly, (as subst.) friend,2,Personality Traits/Characteristics,
PES,199,199,foot,2,The Body,,
IMPERIVM,200,200,"command, power",2,War and Peace,,
LABOR/1,201,201,"toil, exertion",3,Business/Money,,
INGENS,202,202,"huge, enormous",3,Measurement,,
TALIS,203,203,such,3,Measurement,,
PARVM/2,204,204,too little,3,Measurement,,
APVD,205,205,"near, in the presence of (+acc.)",3,Place,,
OCVLVS,206,206,eye,3,The Body,,
VNDA,207,207,"wave, flowing water, water",3,Earth and Water,,
ITAQVE,208,208,"and so, therefore",3,Conjunctions/Adverbs,,
VVLTVS,209,209,"look, expression, face",3,The Body,,
CADO,210,210,"fall, be killed",3,Violence,,
NATVS/1,211,211,son,3,The Household,,
QVIS/1,212,212,who? what? which?,3,Pronouns/Interrogatives,,
TRAHO,213,213,"drag, draw",3,Verbs of Compelling/Directing,,
SANGVIS,214,214,blood,3,The Body,,
METVS,215,215,"fear, dread",3,Emotions,,
TANTVM/2,216,216,only,3,Measurement,,
TANTVMMODO,216,216,only,3,Measurement,,
CONSILIVM,217,217,"plan; council, group of advisors",3,The City,,
CONIVX,218,218,"spouse, husband, wife",3,The Household,,
AMO,219,219,to love, amāns -ntis m./f.: lover,3,Love,
LEVIS/1,220,220,"light, trivial",3,Measurement,,
DVO,221,221,two,3,Measurement,,
FERVS/2,222,222,"wild, fierce; fera -ae f.: wild animal",3,Animals/Plants,,
POENA,223,223,"penalty, punishment",3,Justice,,
CASTRA/2,224,224,"fortress, (regularly plural, castra camp)",3,War and Peace,,
FRATER,225,225,brother,3,The Household,,
HAVD,226,226,not,3,Conjunctions/Adverbs,,
MALVS/3,227,227,"bad, evil",3,Personality Traits/Characteristics,,
IACEO,228,228,lie,3,The House,,
LIBER/2,229,229,free, līberī (m. pl.): freeborn children,3,Justice,
ITER,230,230,"journey, route",3,Travel,,
FERRVM,231,231,"iron, iron weapon or implement",3,Violence,,
SPES,232,232,hope,3,Emotions,,
PVELLA,233,233,girl, girl-friend,3,People,
SILVA,234,234,"forest, grove",3,Animals/Plants,,
BENE,235,235,well,3,Personality Traits/Characteristics,,
FINIS,236,236,"end, boundary",3,Geography,,
GERO,237,237,"bear, manage; bellum gerere, wage war",3,War and Peace,,
