TITLE,LOCATION,SECTION,RUNNINGCOUNT,TEXT
QVE,1,1,1,que
QVI/1,2,1,2,"qui, quis"
QVIS/1,2,1,2,"qui, quis"
ET/2,3,1,3,et
SVM/1,4,1,4,sum
IN,5,1,5,in
IS,6,1,6,is
HIC/1,7,1,7,hic
NON,8,1,8,non
CVM/2,9,1,9,cum
CVM/3,9,1,9,cum
AD/2,10,1,10,ad
ILLE,11,1,11,ille
VT/4,12,1,12,"ut, uti"
OMNIS,13,1,13,omnis
AB,14,1,14,"a, ab"
SVVS,15,1,15,suus
DICO/2,16,1,16,dico
NEC/2,17,1,17,nec
DE,18,1,18,de
SED,19,1,19,sed
IPSE,20,1,20,ipse
SI/2,21,1,21,si
PER,22,1,22,per
POSSVM/1,23,1,23,possum
FACIO,24,1,24,facio
VIDEO,25,1,25,video
MEVS,26,1,26,meus
HABEO,27,1,27,habeo
EGO,28,1,28,mihi
TVVS,29,1,29,tuus
EX,30,1,30,"e, ex"
SVI/1,31,1,31,se
DEVS,32,1,32,deus
TV,33,1,33,te
EGO,34,1,34,me
RES,35,1,35,res
IAM,36,1,36,iam
DO,37,1,37,do
ATQVE/1,38,1,38,atque
AVT,39,1,39,aut
ALIVS,40,1,40,alius
DIES,41,1,41,dies
NOSTER,42,1,42,noster
REX,43,1,43,rex
TV,44,1,44,tibi
VENIO,45,1,45,venio
MVLTVS,46,1,46,multus
VNVS,47,1,47,unus
MAGNVS,48,1,48,magnus
AVTEM,49,1,49,autem
NE/4,50,1,50,ne
HOMO,51,1,51,homo
TEMPVS/1,52,1,52,tempus
ETIAM,53,1,53,etiam
AC/1,54,1,54,ac
QVIDAM,55,1,55,quidam
TV,56,1,56,tu
PRIMVS,57,1,57,primus
ENIM/2,58,1,58,enim
FERO,59,1,59,fero
TAMEN,60,1,60,tamen
TANTVS,61,1,61,tantus
EGO,62,1,62,ego
VOLO/3,63,1,63,"volo, velle"
SIC,64,1,64,sic
LOCVS,65,1,65,locus
NVLLVS,66,1,66,nullus
PATER,67,1,67,pater
DOMINVS,68,1,68,dominus
NVNC,69,1,69,nunc
MANVS/1,70,1,70,manus
MODVS,71,1,71,modus
VERO/3,72,1,72,vero
ANIMVS,73,1,73,animus
TERRA,74,1,74,terra
VIR,75,1,75,vir
IDEM,76,1,76,idem
DOMVS,77,1,77,domus
QVIA,78,1,78,quia
VEL/1,79,1,79,vel
NEQVE,80,1,80,neque
TOTVS,81,1,81,totus
AVDIO,82,1,82,audio
PARS,83,1,83,pars
NOX,84,1,84,nox
VITA,85,1,85,vita
SVI/1,86,1,86,sibi
BONVS,87,1,87,bonus
AT/2,88,1,88,at
NAM,89,1,89,nam
INTER,90,1,90,inter
CORPVS,91,1,91,corpus
MALVS/3,92,1,92,malus
NOMEN,93,1,93,nomen
AMOR,94,1,94,amor
ISTE,95,1,95,iste
QVOD/1,96,1,96,quod
AGO,97,1,97,ago
DVM/2,98,1,98,dum
MORS,99,1,99,mors
SOLVS,100,1,100,solus
ANNVS,101,1,101,annus
SINE,102,1,102,sine
PVER,103,1,103,puer
NIHIL,104,1,104,nihil
LONGVS,105,1,105,longus
CAELVM/1,106,1,106,caelum
ITA,107,1,107,ita
FILIVS,108,1,108,filius
VBI/1,109,1,109,ubi
QVOQVE,110,1,110,quoque
ANTE/2,111,1,111,ante
CARMEN/1,112,1,112,carmen
QVIDEM,113,1,113,quidem
NOS,114,1,114,nobis
O,115,1,115,O
VRBS,116,1,116,urbs
QVISQVE/2,117,1,117,quisque
POST/2,118,1,118,post
SVB,119,1,119,sub
AIO,120,1,120,aio
ALIQVIS,121,1,121,aliquis
CAPIO/2,122,1,122,capio
EO/1,123,1,123,"eo, v."
AMO,124,1,124,amo
TENEO,125,1,125,teneo
NISI,126,1,126,nisi
MILES,127,1,127,miles
SEMPER,128,1,128,semper
NOS,129,1,129,nos
CAVSA,130,1,130,causa
VERBVM,131,1,131,verbum
TVM,132,1,132,tunc
QVAERO,133,1,133,quaero
ACCIPIO,134,1,134,accipio
PRO/1,135,1,135,pro
TVM,136,1,136,tum
QVANTVS/1,137,1,137,quantus
BELLVM,138,1,138,bellum
PONO,139,1,139,pono
VIS,140,1,140,vis
FIO,141,1,141,fio
FRATER,142,1,142,frater
MATER,143,1,143,mater
IVBEO,144,1,144,iubeo
TALIS,145,1,145,talis
OS/1,146,1,146,os (oris)
PETO,147,1,147,peto
OPVS/1,148,1,148,opus
DVCO,149,1,149,duco
TAM,150,1,150,tam
SANCTVS,151,1,151,sanctus
VERVS,152,1,152,verus
LEGO/2,153,1,153,"lego, -ere"
CREDO,154,1,154,credo
CVRA,155,1,155,cura
MITTO,156,1,156,mitto
MENS,157,1,157,mens
PLVS,158,1,158,plus
SCIO,159,1,159,scio
VINCO,160,1,160,vinco
VIVO,161,1,161,vivo
IGNIS,162,1,162,ignis
MAXIMVS,163,1,163,maximus
PVELLA,164,1,164,puella
FORTIS,165,1,165,fortis
HOSTIS,166,1,166,hostis
CETERVS,167,1,167,ceterus
ARMA,168,1,168,arma
MOS,169,1,169,mos
SAEPE,170,1,170,saepe
VOCO,171,1,171,voco
AMICVS/2,172,1,172,amicus
GENVS/1,173,1,173,genus
NE/4,174,1,174,ne
VOX,175,1,175,vox
ALTER,176,1,176,alter
MAGIS/2,177,1,177,magis
SCRIBO,178,1,178,scribo
DVO,179,1,179,duo
SEQVOR,180,1,180,sequor
ARS,181,1,181,ars
CAPVT,182,1,182,caput
MOVEO,183,1,183,moveo
SVMMVS,184,1,184,summus
DVLCIS,185,1,185,dulcis
NOVVS,186,1,186,novus
QVAM/1,187,1,187,quam
DOCEO,188,1,188,doceo
NATVRA,189,1,189,natura
IVVENIS/2,190,1,190,iuvenis
LOQVOR,191,1,191,loquor
MAIOR,192,1,192,maior
PES,193,1,193,pes
POPVLVS/1,194,1,194,populus
ERGO/2,195,1,195,ergo
VE,196,1,196,ve
AQVA,197,1,197,aqua
INVENIO,198,1,198,invenio
LABOR/1,199,1,199,"labor, n."
REFERO,200,1,200,refero
GRAVIS,201,1,201,gravis
VIRTVS,202,1,202,virtus
IBI,203,1,203,ibi
MARE,204,1,204,mare
ROMANVS/A,205,2,205,Romanus
VIA,206,1,206,via
CONSILIVM,207,1,207,consilium
DEBEO,208,1,208,debeo
NATVS/2,209,1,209,natus
SOL,210,1,210,sol
SVPER/2,211,1,211,super
COEPIO,213,1,213,coepi
INQVIO,214,1,214,inquam
CERTVS,215,1,215,certus
STO,216,1,216,sto
MEDIVS,217,1,217,medius
SACER,218,1,218,sacer
SICVT/1,219,1,219,sicut
PECTVS,220,1,220,pectus
ALTVS,221,1,221,altus
VOS,222,1,222,vos
CVNCTVS,223,1,223,cunctus
OCVLVS,224,1,224,oculus
SATIS/2,225,1,225,satis
VALEO,226,1,226,valeo
SENEX/2,227,1,227,senex
VESTER,228,1,228,vester
GENS,229,1,229,gens
PVTO,230,1,230,puto
STVDIVM,231,1,231,studium
PVBLICVS/2,232,1,232,publicus
SECVNDVS/1,233,1,233,secundus
EQVVS,234,1,234,equus
REDEO/1,235,1,235,redeo
NVMQVAM,236,1,236,numquam
FVGIO,237,1,237,fugio
ORBIS,238,1,238,orbis
QVISQVIS/2,239,1,239,quisquis
GRATIA,240,1,240,gratia
ITAQVE,241,1,241,itaque
QVASI/1,242,1,242,quasi
REGNVM,243,1,243,regnum
RELINQVO,244,1,244,relinquo
MISER,245,1,245,miser
DVX,246,1,246,dux
FORTVNA,247,1,247,fortuna
IGITVR,248,1,248,igitur
SIMVL/1,249,1,249,simul
BENE,250,1,250,bene
LEX,251,1,251,lex
LITTERA,252,1,252,littera
RESPONDEO,253,1,253,respondeo
AVRVM,254,1,254,aurum
CANO,255,1,255,cano
GERO,256,1,256,gero
VNDE/1,257,1,257,unde
FATVM,258,1,258,fatum
HONOR,259,1,259,honos
MVNVS,260,1,260,munus
QVISQVAM,261,1,261,quisquam
SOLEO,262,1,262,soleo
TRES,263,1,263,tres
APVD,264,1,264,apud
CIVITAS,265,1,265,civitas
FIDES/2,266,1,266,"fides, -ei"
